primitive,n_obs,n_models,n_families,n_families_multi_scale,pooled_slope,pooled_intercept,pooled_r2,pooled_slope_ci_lo,pooled_slope_ci_hi,family_fe_slope,family_fe_r2,family_fe_slope_ci_lo,family_fe_slope_ci_hi,mixed_slope,mixed_slope_se,mixed_n_families
Causal,39,39,12,10,-0.12115444864520138,1.399169941138104,0.21497023362431,-0.18832039987446678,-0.04803306359399761,-0.13405929527755697,0.6439680386127056,-0.2408424770133176,-0.05643345894874584,,,0
Moral,39,39,12,10,0.027788759628100367,-0.17407395042461146,0.0176078889040594,-0.02170152301606633,0.07136636563305955,-0.0005202189353662907,0.33562583117928624,-0.08809923064200673,0.06632363341283058,,,0
Null,39,39,12,10,-0.17246880391098066,1.816604696484689,0.12460374477810598,-0.28747751062932664,-0.06549309770639708,-0.12036826944040314,0.37354390570836493,-0.3198458455877728,0.06852972348417916,,,0
Spatial,39,39,12,10,0.03828055867190331,-0.18869632683347703,0.057319428885628576,-0.011819069411617422,0.0990608040719923,0.029341351064510815,0.395907158833977,-0.04348824637918624,0.11937948326558022,,,0
Strategic,39,39,12,10,-0.052726205987088805,0.9202787538895882,0.03613044339141824,-0.14450541765242014,0.02587779328170496,-0.0789728705481971,0.3733413034460805,-0.24561625395886433,0.018444522537253275,,,0
ToM,39,39,12,10,0.05262922438664835,-0.39014136003744215,0.09391762117463753,0.007789447441709926,0.08932339062623193,0.028285498651670224,0.5870420838965056,-0.025860225423408312,0.06748672891403854,,,0
