model,family,size_b,arch,tier,corpus,primitive,ca,acc_target,acc_retain,log_params
gemma-2-27b,Google,27.0,Dense Transformer,27-72B,mor_cc,Moral,0.0722,0.3513,0.2791,10.431363764158988
gemma-2-27b,Google,27.0,Dense Transformer,27-72B,null_cc,Null,0.082,0.7702,0.6882,10.431363764158988
gemma-2-27b,Google,27.0,Dense Transformer,27-72B,spl_cc,Math,0.7046,0.7046,0.0,10.431363764158988
gemma-2-27b,Google,27.0,Dense Transformer,27-72B,stp_cc,Spatial,0.2075,0.4464,0.2389,10.431363764158988
gemma-2-27b,Google,27.0,Dense Transformer,27-72B,str_cc,Strategic,0.3151,0.7556,0.4405,10.431363764158988
gemma-2-27b,Google,27.0,Dense Transformer,27-72B,tom_cc,ToM,0.0691,0.5522,0.4832,10.431363764158988
gemma-2-27b-it,Google,27.0,Dense Transformer (Instruct),27-72B,core_math,Proof,-0.0839,0.912,0.9959,10.431363764158988
gemma-2-27b-it,Google,27.0,Dense Transformer (Instruct),27-72B,ctr_cc,Causal,0.0772,0.9823,0.9051,10.431363764158988
gemma-2-27b-it,Google,27.0,Dense Transformer (Instruct),27-72B,mor_cc,Moral,0.0448,0.7978,0.7529,10.431363764158988
gemma-2-27b-it,Google,27.0,Dense Transformer (Instruct),27-72B,null_cc,Null,-0.1256,0.7403,0.8659,10.431363764158988
gemma-2-27b-it,Google,27.0,Dense Transformer (Instruct),27-72B,spl_cc,Math,0.6575,0.6575,0.0,10.431363764158988
gemma-2-27b-it,Google,27.0,Dense Transformer (Instruct),27-72B,stp_cc,Spatial,0.1732,0.3456,0.1724,10.431363764158988
gemma-2-27b-it,Google,27.0,Dense Transformer (Instruct),27-72B,str_cc,Strategic,0.3842,0.9823,0.5981,10.431363764158988
gemma-2-27b-it,Google,27.0,Dense Transformer (Instruct),27-72B,tom_cc,ToM,0.2157,0.5673,0.3516,10.431363764158988
gemma-2-2b,Google,2.0,Dense Transformer,1.7-3.8B,core_math,Proof,0.3812,0.6342,0.253,9.301029995663981
gemma-2-2b,Google,2.0,Dense Transformer,1.7-3.8B,ctr_cc,Causal,0.2603,0.7323,0.472,9.301029995663981
gemma-2-2b,Google,2.0,Dense Transformer,1.7-3.8B,mor_cc,Moral,0.0914,0.1163,0.0249,9.301029995663981
gemma-2-2b,Google,2.0,Dense Transformer,1.7-3.8B,null_cc,Null,0.3982,0.765,0.3668,9.301029995663981
gemma-2-2b,Google,2.0,Dense Transformer,1.7-3.8B,spl_cc,Math,0.5837,0.5837,0.0,9.301029995663981
gemma-2-2b,Google,2.0,Dense Transformer,1.7-3.8B,stp_cc,Spatial,0.0696,0.3189,0.2492,9.301029995663981
gemma-2-2b,Google,2.0,Dense Transformer,1.7-3.8B,str_cc,Strategic,0.2508,0.3305,0.0797,9.301029995663981
gemma-2-2b,Google,2.0,Dense Transformer,1.7-3.8B,tom_cc,ToM,0.095,0.174,0.079,9.301029995663981
gemma-2-9b,Google,9.0,Dense Transformer,7-9B,ctr_cc,Causal,0.2392,0.8634,0.6242,9.954242509439325
gemma-2-9b,Google,9.0,Dense Transformer,7-9B,mor_cc,Moral,0.1354,0.3271,0.1917,9.954242509439325
gemma-2-9b,Google,9.0,Dense Transformer,7-9B,null_cc,Null,0.0033,0.9488,0.9455,9.954242509439325
gemma-2-9b,Google,9.0,Dense Transformer,7-9B,spl_cc,Math,0.6991,0.6991,0.0,9.954242509439325
gemma-2-9b,Google,9.0,Dense Transformer,7-9B,stp_cc,Spatial,0.2059,0.4252,0.2193,9.954242509439325
gemma-2-9b,Google,9.0,Dense Transformer,7-9B,str_cc,Strategic,0.5039,0.8362,0.3324,9.954242509439325
gemma-2-9b,Google,9.0,Dense Transformer,7-9B,tom_cc,ToM,0.2083,0.4084,0.2001,9.954242509439325
gemma-2-9b-it,Google,9.0,Dense Transformer (Instruct),7-9B,ctr_cc,Causal,0.066,0.9691,0.9031,9.954242509439325
gemma-2-9b-it,Google,9.0,Dense Transformer (Instruct),7-9B,mor_cc,Moral,0.1508,0.8484,0.6976,9.954242509439325
gemma-2-9b-it,Google,9.0,Dense Transformer (Instruct),7-9B,null_cc,Null,-0.1014,0.8441,0.9454,9.954242509439325
gemma-2-9b-it,Google,9.0,Dense Transformer (Instruct),7-9B,spl_cc,Math,0.6589,0.6589,0.0,9.954242509439325
gemma-2-9b-it,Google,9.0,Dense Transformer (Instruct),7-9B,stp_cc,Spatial,0.135,0.2776,0.1426,9.954242509439325
gemma-2-9b-it,Google,9.0,Dense Transformer (Instruct),7-9B,str_cc,Strategic,0.508,0.9639,0.456,9.954242509439325
gemma-2-9b-it,Google,9.0,Dense Transformer (Instruct),7-9B,tom_cc,ToM,0.1922,0.5164,0.3243,9.954242509439325
granite-3.0-8b,IBM,8.0,Dense Transformer,7-9B,ctr_cc,Causal,0.1562,0.9425,0.7863,9.903089986991944
granite-3.0-8b,IBM,8.0,Dense Transformer,7-9B,mor_cc,Moral,0.2112,0.5756,0.3644,9.903089986991944
