model,family,size_b,arch,tier,corpus,primitive,ca,acc_target,acc_retain,log_params
phi-3.5-mini,Microsoft,3.8,Dense Transformer (Instruct),1.7-3.8B,null_cc,Null,0.5465,0.6773,0.1308,9.57978359661681
phi-3.5-mini,Microsoft,3.8,Dense Transformer (Instruct),1.7-3.8B,spl_cc,Math,0.597,0.597,0.0,9.57978359661681
phi-3.5-mini,Microsoft,3.8,Dense Transformer (Instruct),1.7-3.8B,stp_cc,Spatial,0.1573,0.4171,0.2598,9.57978359661681
phi-3.5-mini,Microsoft,3.8,Dense Transformer (Instruct),1.7-3.8B,str_cc,Strategic,0.3829,0.8064,0.4235,9.57978359661681
phi-3.5-mini,Microsoft,3.8,Dense Transformer (Instruct),1.7-3.8B,tom_cc,ToM,0.0977,0.6142,0.5165,9.57978359661681
pythia-6.9b,EleutherAI,6.9,Dense Transformer,7-9B,core_math,Proof,-0.0226,0.0242,0.0467,9.838849090737256
pythia-6.9b,EleutherAI,6.9,Dense Transformer,7-9B,ctr_cc,Causal,0.2279,0.3045,0.0765,9.838849090737256
pythia-6.9b,EleutherAI,6.9,Dense Transformer,7-9B,mor_cc,Moral,-0.0015,0.0066,0.0081,9.838849090737256
pythia-6.9b,EleutherAI,6.9,Dense Transformer,7-9B,null_cc,Null,0.0475,0.1635,0.116,9.838849090737256
pythia-6.9b,EleutherAI,6.9,Dense Transformer,7-9B,spl_cc,Math,0.3717,0.3717,0.0,9.838849090737256
pythia-6.9b,EleutherAI,6.9,Dense Transformer,7-9B,stp_cc,Spatial,0.1723,0.325,0.1527,9.838849090737256
pythia-6.9b,EleutherAI,6.9,Dense Transformer,7-9B,str_cc,Strategic,0.2057,0.2232,0.0175,9.838849090737256
pythia-6.9b,EleutherAI,6.9,Dense Transformer,7-9B,tom_cc,ToM,0.0709,0.1175,0.0467,9.838849090737256
qwen-2-7b,Alibaba,7.0,Dense Transformer,7-9B,ctr_cc,Causal,0.1523,0.9497,0.7974,9.845098040014257
qwen-2-7b,Alibaba,7.0,Dense Transformer,7-9B,mor_cc,Moral,-0.0784,0.6059,0.6842,9.845098040014257
qwen-2-7b,Alibaba,7.0,Dense Transformer,7-9B,null_cc,Null,-0.0293,0.9092,0.9385,9.845098040014257
qwen-2-7b,Alibaba,7.0,Dense Transformer,7-9B,spl_cc,Math,0.0329,0.0329,0.0,9.845098040014257
qwen-2-7b,Alibaba,7.0,Dense Transformer,7-9B,stp_cc,Spatial,0.2271,0.3735,0.1464,9.845098040014257
qwen-2-7b,Alibaba,7.0,Dense Transformer,7-9B,str_cc,Strategic,0.5626,0.8809,0.3183,9.845098040014257
qwen-2-7b,Alibaba,7.0,Dense Transformer,7-9B,tom_cc,ToM,-0.0184,0.5512,0.5696,9.845098040014257
qwen-2.5-1.5b,Alibaba,1.5,Dense Transformer,1.7-3.8B,core_math,Proof,-0.2854,0.1455,0.431,9.176091259055681
qwen-2.5-1.5b,Alibaba,1.5,Dense Transformer,1.7-3.8B,ctr_cc,Causal,0.4203,0.5767,0.1564,9.176091259055681
qwen-2.5-1.5b,Alibaba,1.5,Dense Transformer,1.7-3.8B,mor_cc,Moral,0.0003,0.0125,0.0122,9.176091259055681
qwen-2.5-1.5b,Alibaba,1.5,Dense Transformer,1.7-3.8B,null_cc,Null,0.2777,0.3851,0.1074,9.176091259055681
qwen-2.5-1.5b,Alibaba,1.5,Dense Transformer,1.7-3.8B,spl_cc,Math,0.0423,0.0423,0.0,9.176091259055681
qwen-2.5-1.5b,Alibaba,1.5,Dense Transformer,1.7-3.8B,stp_cc,Spatial,0.0905,0.3784,0.2879,9.176091259055681
qwen-2.5-1.5b,Alibaba,1.5,Dense Transformer,1.7-3.8B,str_cc,Strategic,0.4212,0.5163,0.0951,9.176091259055681
qwen-2.5-1.5b,Alibaba,1.5,Dense Transformer,1.7-3.8B,tom_cc,ToM,0.0538,0.1036,0.0498,9.176091259055681
qwen-2.5-14b,Alibaba,14.0,Dense Transformer,12-14B,ctr_cc,Causal,0.1019,0.9694,0.8675,10.146128035678238
qwen-2.5-14b,Alibaba,14.0,Dense Transformer,12-14B,mor_cc,Moral,0.1955,0.673,0.4776,10.146128035678238
qwen-2.5-14b,Alibaba,14.0,Dense Transformer,12-14B,null_cc,Null,-0.0061,0.9837,0.9898,10.146128035678238
qwen-2.5-14b,Alibaba,14.0,Dense Transformer,12-14B,spl_cc,Math,0.7185,0.7185,0.0,10.146128035678238
qwen-2.5-14b,Alibaba,14.0,Dense Transformer,12-14B,stp_cc,Spatial,0.1794,0.3157,0.1363,10.146128035678238
qwen-2.5-14b,Alibaba,14.0,Dense Transformer,12-14B,str_cc,Strategic,0.3777,0.9523,0.5746,10.146128035678238
qwen-2.5-14b,Alibaba,14.0,Dense Transformer,12-14B,tom_cc,ToM,0.0629,0.5461,0.4832,10.146128035678238
qwen-2.5-14b-instruct,Alibaba,14.0,Dense Transformer (Instruct),12-14B,ctr_cc,Causal,0.0429,0.9916,0.9487,10.146128035678238
qwen-2.5-14b-instruct,Alibaba,14.0,Dense Transformer (Instruct),12-14B,mor_cc,Moral,0.0934,0.6495,0.5561,10.146128035678238
qwen-2.5-14b-instruct,Alibaba,14.0,Dense Transformer (Instruct),12-14B,null_cc,Null,0.4526,0.7809,0.3283,10.146128035678238
qwen-2.5-14b-instruct,Alibaba,14.0,Dense Transformer (Instruct),12-14B,spl_cc,Math,0.5793,0.5793,0.0,10.146128035678238
qwen-2.5-14b-instruct,Alibaba,14.0,Dense Transformer (Instruct),12-14B,stp_cc,Spatial,0.3032,0.4262,0.123,10.146128035678238
qwen-2.5-14b-instruct,Alibaba,14.0,Dense Transformer (Instruct),12-14B,str_cc,Strategic,0.1981,0.9926,0.7945,10.146128035678238
qwen-2.5-14b-instruct,Alibaba,14.0,Dense Transformer (Instruct),12-14B,tom_cc,ToM,0.0127,0.6509,0.6382,10.146128035678238
qwen-2.5-32b-instruct-awq,Alibaba,32.0,"Dense Transformer (Instruct, AWQ Int4)",27-72B,ctr_cc,Causal,0.0444,0.9905,0.9462,10.505149978319906
qwen-2.5-32b-instruct-awq,Alibaba,32.0,"Dense Transformer (Instruct, AWQ Int4)",27-72B,mor_cc,Moral,0.0486,0.7614,0.7128,10.505149978319906
qwen-2.5-32b-instruct-awq,Alibaba,32.0,"Dense Transformer (Instruct, AWQ Int4)",27-72B,null_cc,Null,0.2207,0.8637,0.643,10.505149978319906
qwen-2.5-32b-instruct-awq,Alibaba,32.0,"Dense Transformer (Instruct, AWQ Int4)",27-72B,spl_cc,Math,0.6116,0.6116,0.0,10.505149978319906
qwen-2.5-32b-instruct-awq,Alibaba,32.0,"Dense Transformer (Instruct, AWQ Int4)",27-72B,stp_cc,Spatial,0.2468,0.3921,0.1453,10.505149978319906
qwen-2.5-32b-instruct-awq,Alibaba,32.0,"Dense Transformer (Instruct, AWQ Int4)",27-72B,str_cc,Strategic,0.2834,0.9873,0.7039,10.505149978319906
qwen-2.5-32b-instruct-awq,Alibaba,32.0,"Dense Transformer (Instruct, AWQ Int4)",27-72B,tom_cc,ToM,0.066,0.6748,0.6088,10.505149978319906
qwen-2.5-3b,Alibaba,3.0,Dense Transformer,1.7-3.8B,core_math,Proof,-0.1551,0.8318,0.9869,9.477121254719663
qwen-2.5-3b,Alibaba,3.0,Dense Transformer,1.7-3.8B,ctr_cc,Causal,0.2114,0.9232,0.7118,9.477121254719663
qwen-2.5-3b,Alibaba,3.0,Dense Transformer,1.7-3.8B,mor_cc,Moral,0.1532,0.4024,0.2493,9.477121254719663
qwen-2.5-3b,Alibaba,3.0,Dense Transformer,1.7-3.8B,null_cc,Null,0.1245,0.891,0.7665,9.477121254719663
qwen-2.5-3b,Alibaba,3.0,Dense Transformer,1.7-3.8B,spl_cc,Math,0.6786,0.6786,0.0,9.477121254719663
qwen-2.5-3b,Alibaba,3.0,Dense Transformer,1.7-3.8B,stp_cc,Spatial,0.1523,0.3414,0.189,9.477121254719663
qwen-2.5-3b,Alibaba,3.0,Dense Transformer,1.7-3.8B,str_cc,Strategic,0.515,0.7398,0.2248,9.477121254719663
qwen-2.5-3b,Alibaba,3.0,Dense Transformer,1.7-3.8B,tom_cc,ToM,0.0851,0.3659,0.2807,9.477121254719663
qwen-2.5-7b,Alibaba,7.0,Dense Transformer,7-9B,core_math,Proof,-0.0294,0.9673,0.9966,9.845098040014257
qwen-2.5-7b,Alibaba,7.0,Dense Transformer,7-9B,ctr_cc,Causal,0.1531,0.947,0.7939,9.845098040014257
qwen-2.5-7b,Alibaba,7.0,Dense Transformer,7-9B,mor_cc,Moral,0.1325,0.5238,0.3913,9.845098040014257
qwen-2.5-7b,Alibaba,7.0,Dense Transformer,7-9B,null_cc,Null,0.4501,0.9229,0.4728,9.845098040014257
qwen-2.5-7b,Alibaba,7.0,Dense Transformer,7-9B,spl_cc,Math,0.6834,0.6834,0.0,9.845098040014257
qwen-2.5-7b,Alibaba,7.0,Dense Transformer,7-9B,stp_cc,Spatial,0.1745,0.3534,0.1788,9.845098040014257
qwen-2.5-7b,Alibaba,7.0,Dense Transformer,7-9B,str_cc,Strategic,0.4189,0.7825,0.3636,9.845098040014257
qwen-2.5-7b,Alibaba,7.0,Dense Transformer,7-9B,tom_cc,ToM,0.1417,0.47,0.3283,9.845098040014257
smollm-1.7b,HuggingFace,1.7,Dense Transformer,1.7-3.8B,core_math,Proof,-0.1145,0.2586,0.3731,9.230448921378274
smollm-1.7b,HuggingFace,1.7,Dense Transformer,1.7-3.8B,ctr_cc,Causal,0.3595,0.6659,0.3064,9.230448921378274
smollm-1.7b,HuggingFace,1.7,Dense Transformer,1.7-3.8B,mor_cc,Moral,0.0592,0.1622,0.1029,9.230448921378274
smollm-1.7b,HuggingFace,1.7,Dense Transformer,1.7-3.8B,null_cc,Null,0.2319,0.8667,0.6348,9.230448921378274
smollm-1.7b,HuggingFace,1.7,Dense Transformer,1.7-3.8B,spl_cc,Math,0.4134,0.4134,0.0,9.230448921378274
smollm-1.7b,HuggingFace,1.7,Dense Transformer,1.7-3.8B,stp_cc,Spatial,0.1998,0.2909,0.0911,9.230448921378274
smollm-1.7b,HuggingFace,1.7,Dense Transformer,1.7-3.8B,str_cc,Strategic,0.3561,0.515,0.1588,9.230448921378274
smollm-1.7b,HuggingFace,1.7,Dense Transformer,1.7-3.8B,tom_cc,ToM,0.0711,0.1178,0.0467,9.230448921378274
smollm-360m,HuggingFace,0.36,Dense Transformer,<1B,ctr_cc,Causal,0.2938,0.4441,0.1502,8.556302500767288
smollm-360m,HuggingFace,0.36,Dense Transformer,<1B,mor_cc,Moral,0.0741,0.1257,0.0516,8.556302500767288
smollm-360m,HuggingFace,0.36,Dense Transformer,<1B,null_cc,Null,0.3063,0.5995,0.2931,8.556302500767288
smollm-360m,HuggingFace,0.36,Dense Transformer,<1B,spl_cc,Math,0.2191,0.2191,0.0,8.556302500767288
smollm-360m,HuggingFace,0.36,Dense Transformer,<1B,stp_cc,Spatial,0.0889,0.1108,0.0219,8.556302500767288
smollm-360m,HuggingFace,0.36,Dense Transformer,<1B,str_cc,Strategic,0.3704,0.4411,0.0706,8.556302500767288
smollm-360m,HuggingFace,0.36,Dense Transformer,<1B,tom_cc,ToM,0.0574,0.0812,0.0238,8.556302500767288
yi-1.5-34b,01.AI,34.0,Dense Transformer,27-72B,ctr_cc,Causal,0.1659,0.9289,0.7629,10.531478917042255
yi-1.5-34b,01.AI,34.0,Dense Transformer,27-72B,mor_cc,Moral,0.1322,0.3991,0.2669,10.531478917042255
yi-1.5-34b,01.AI,34.0,Dense Transformer,27-72B,null_cc,Null,0.0318,0.8263,0.7945,10.531478917042255
yi-1.5-34b,01.AI,34.0,Dense Transformer,27-72B,spl_cc,Math,0.7213,0.7213,0.0,10.531478917042255
yi-1.5-34b,01.AI,34.0,Dense Transformer,27-72B,stp_cc,Spatial,0.1941,0.4262,0.2321,10.531478917042255
yi-1.5-34b,01.AI,34.0,Dense Transformer,27-72B,str_cc,Strategic,0.3504,0.9159,0.5655,10.531478917042255
yi-1.5-34b,01.AI,34.0,Dense Transformer,27-72B,tom_cc,ToM,0.1874,0.7161,0.5287,10.531478917042255
yi-1.5-34b-chat,01.AI,34.0,Dense Transformer (Instruct),27-72B,ctr_cc,Causal,0.0612,0.9887,0.9274,10.531478917042255
yi-1.5-34b-chat,01.AI,34.0,Dense Transformer (Instruct),27-72B,mor_cc,Moral,0.0528,0.539,0.4862,10.531478917042255
yi-1.5-34b-chat,01.AI,34.0,Dense Transformer (Instruct),27-72B,null_cc,Null,-0.028,0.5542,0.5822,10.531478917042255
yi-1.5-34b-chat,01.AI,34.0,Dense Transformer (Instruct),27-72B,spl_cc,Math,0.7032,0.7032,0.0,10.531478917042255
yi-1.5-34b-chat,01.AI,34.0,Dense Transformer (Instruct),27-72B,stp_cc,Spatial,0.2239,0.3961,0.1722,10.531478917042255
yi-1.5-34b-chat,01.AI,34.0,Dense Transformer (Instruct),27-72B,str_cc,Strategic,0.3255,0.9722,0.6467,10.531478917042255
yi-1.5-34b-chat,01.AI,34.0,Dense Transformer (Instruct),27-72B,tom_cc,ToM,0.1702,0.549,0.3789,10.531478917042255
yi-1.5-9b,01.AI,9.0,Dense Transformer,7-9B,ctr_cc,Causal,0.1804,0.8145,0.6341,9.954242509439325
yi-1.5-9b,01.AI,9.0,Dense Transformer,7-9B,mor_cc,Moral,0.2051,0.514,0.3089,9.954242509439325
yi-1.5-9b,01.AI,9.0,Dense Transformer,7-9B,null_cc,Null,-0.2047,0.6951,0.8998,9.954242509439325
yi-1.5-9b,01.AI,9.0,Dense Transformer,7-9B,spl_cc,Math,0.7054,0.7054,0.0,9.954242509439325
yi-1.5-9b,01.AI,9.0,Dense Transformer,7-9B,stp_cc,Spatial,0.2507,0.4783,0.2277,9.954242509439325
yi-1.5-9b,01.AI,9.0,Dense Transformer,7-9B,str_cc,Strategic,0.4148,0.8275,0.4127,9.954242509439325
yi-1.5-9b,01.AI,9.0,Dense Transformer,7-9B,tom_cc,ToM,0.1841,0.3916,0.2074,9.954242509439325
