model,family,size_b,arch,tier,ToM_CA,Causal_CA,Moral_CA,Strategic_CA,Spatial_CA,Null_CA,Math_CA,Proof_CA,ToM_target,Causal_target,Moral_target,Strategic_target,Spatial_target,Null_target,Math_target,Proof_target,ToM_retain,Causal_retain,Moral_retain,Strategic_retain,Spatial_retain,Null_retain,Math_retain,Proof_retain
mistral-7b-instruct-v0.2,Mistral,7.0,Dense Transformer (Instruct),7-9B,0.0816,0.11,-0.002,0.4248,0.2791,0.2588,0.6651,,0.5147,0.9762,0.4986,0.8209,0.4239,0.4882,0.6651,,0.4332,0.8662,0.5006,0.3961,0.1449,0.2294,0.0,
mistral-nemo-12b-base,Mistral,12.0,Dense Transformer,12-14B,0.2582,0.1427,0.1041,0.475,0.1384,-0.0521,0.6305,,0.5069,0.8535,0.2371,0.8637,0.3992,0.929,0.6305,,0.2487,0.7108,0.1331,0.3887,0.2608,0.9811,0.0,
olmo-2-13b,AI2,13.0,Dense Transformer,12-14B,0.0881,0.3778,0.1396,0.3538,0.1761,-0.0163,0.6712,,0.2106,0.668,0.288,0.4399,0.4907,0.974,0.6712,,0.1224,0.2903,0.1484,0.0861,0.3145,0.9903,0.0,
olmo-2-7b,AI2,7.0,Dense Transformer,7-9B,0.079,0.306,0.2141,0.3686,0.169,0.2535,0.6783,,0.21,0.7489,0.3862,0.4705,0.4902,0.8046,0.6783,,0.131,0.443,0.1721,0.1019,0.3213,0.5511,0.0,
olmo-7b,AI2,7.0,Dense Transformer,7-9B,0.0692,0.2857,0.1415,0.4296,0.1616,0.4066,0.715,-0.0338,0.1752,0.4057,0.3021,0.5764,0.4926,0.7386,0.715,0.132,0.106,0.12,0.1606,0.1468,0.331,0.332,0.0,0.1657
phi-3-medium,Microsoft,14.0,Dense Transformer,12-14B,0.1247,0.0857,-0.0134,0.2786,0.2038,0.0615,0.7228,,0.554,0.9807,0.77,0.9791,0.3513,0.9517,0.7228,,0.4292,0.895,0.7834,0.7004,0.1476,0.8901,0.0,
phi-3-mini,Microsoft,3.8,Dense Transformer,1.7-3.8B,0.1308,0.0798,0.1244,0.3308,0.1428,0.4767,0.716,-0.0534,0.5393,0.9664,0.7819,0.9578,0.3362,0.7884,0.716,0.9447,0.4085,0.8866,0.6575,0.627,0.1933,0.3118,0.0,0.9981
phi-3.5-mini,Microsoft,3.8,Dense Transformer (Instruct),1.7-3.8B,0.0977,0.0627,-0.035,0.3829,0.1573,0.5465,0.597,-0.2152,0.6142,0.9758,0.7748,0.8064,0.4171,0.6773,0.597,0.7824,0.5165,0.9131,0.8098,0.4235,0.2598,0.1308,0.0,0.9976
pythia-6.9b,EleutherAI,6.9,Dense Transformer,7-9B,0.0709,0.2279,-0.0015,0.2057,0.1723,0.0475,0.3717,-0.0226,0.1175,0.3045,0.0066,0.2232,0.325,0.1635,0.3717,0.0242,0.0467,0.0765,0.0081,0.0175,0.1527,0.116,0.0,0.0467
qwen-2-7b,Alibaba,7.0,Dense Transformer,7-9B,-0.0184,0.1523,-0.0784,0.5626,0.2271,-0.0293,0.0329,,0.5512,0.9497,0.6059,0.8809,0.3735,0.9092,0.0329,,0.5696,0.7974,0.6842,0.3183,0.1464,0.9385,0.0,
