model,family,size_b,arch,tier,corpus,primitive,ca_raw,delta,ca_corrected
yi-1.5-34b,01.AI,34.0,Dense Transformer,27-72B,stp_cc,Spatial,0.1941,0.000,0.1941
yi-1.5-34b,01.AI,34.0,Dense Transformer,27-72B,str_cc,Strategic,0.3504,0.220,0.1304
yi-1.5-34b,01.AI,34.0,Dense Transformer,27-72B,tom_cc,ToM,0.1874,0.140,0.0474
yi-1.5-34b-chat,01.AI,34.0,Dense Transformer (Instruct),27-72B,ctr_cc,Causal,0.0612,0.160,-0.0988
yi-1.5-34b-chat,01.AI,34.0,Dense Transformer (Instruct),27-72B,mor_cc,Moral,0.0528,0.000,0.0528
yi-1.5-34b-chat,01.AI,34.0,Dense Transformer (Instruct),27-72B,null_cc,Null,-0.0280,0.700,-0.7280
yi-1.5-34b-chat,01.AI,34.0,Dense Transformer (Instruct),27-72B,stp_cc,Spatial,0.2239,0.000,0.2239
yi-1.5-34b-chat,01.AI,34.0,Dense Transformer (Instruct),27-72B,str_cc,Strategic,0.3255,0.220,0.1055
yi-1.5-34b-chat,01.AI,34.0,Dense Transformer (Instruct),27-72B,tom_cc,ToM,0.1702,0.140,0.0302
yi-1.5-9b,01.AI,9.0,Dense Transformer,7-9B,ctr_cc,Causal,0.1804,0.160,0.0204
yi-1.5-9b,01.AI,9.0,Dense Transformer,7-9B,mor_cc,Moral,0.2051,0.000,0.2051
yi-1.5-9b,01.AI,9.0,Dense Transformer,7-9B,null_cc,Null,-0.2047,0.700,-0.9047
yi-1.5-9b,01.AI,9.0,Dense Transformer,7-9B,stp_cc,Spatial,0.2507,0.000,0.2507
yi-1.5-9b,01.AI,9.0,Dense Transformer,7-9B,str_cc,Strategic,0.4148,0.220,0.1948
yi-1.5-9b,01.AI,9.0,Dense Transformer,7-9B,tom_cc,ToM,0.1841,0.140,0.0441
