model,family,size_b,arch,tier,corpus,primitive,ca_raw,delta,ca_corrected
gemma-2-9b,Google,9.0,Dense Transformer,7-9B,mor_cc,Moral,0.1354,0.000,0.1354
gemma-2-9b,Google,9.0,Dense Transformer,7-9B,null_cc,Null,0.0033,0.700,-0.6967
gemma-2-9b,Google,9.0,Dense Transformer,7-9B,stp_cc,Spatial,0.2059,0.000,0.2059
gemma-2-9b,Google,9.0,Dense Transformer,7-9B,str_cc,Strategic,0.5039,0.220,0.2839
gemma-2-9b,Google,9.0,Dense Transformer,7-9B,tom_cc,ToM,0.2083,0.140,0.0683
gemma-2-9b-it,Google,9.0,Dense Transformer (Instruct),7-9B,ctr_cc,Causal,0.0660,0.160,-0.0940
gemma-2-9b-it,Google,9.0,Dense Transformer (Instruct),7-9B,mor_cc,Moral,0.1508,0.000,0.1508
gemma-2-9b-it,Google,9.0,Dense Transformer (Instruct),7-9B,null_cc,Null,-0.1014,0.700,-0.8014
gemma-2-9b-it,Google,9.0,Dense Transformer (Instruct),7-9B,stp_cc,Spatial,0.1350,0.000,0.1350
gemma-2-9b-it,Google,9.0,Dense Transformer (Instruct),7-9B,str_cc,Strategic,0.5080,0.220,0.2880
gemma-2-9b-it,Google,9.0,Dense Transformer (Instruct),7-9B,tom_cc,ToM,0.1922,0.140,0.0522
granite-3.0-8b,IBM,8.0,Dense Transformer,7-9B,ctr_cc,Causal,0.1562,0.160,-0.0038
granite-3.0-8b,IBM,8.0,Dense Transformer,7-9B,mor_cc,Moral,0.2112,0.000,0.2112
granite-3.0-8b,IBM,8.0,Dense Transformer,7-9B,null_cc,Null,0.0698,0.700,-0.6302
granite-3.0-8b,IBM,8.0,Dense Transformer,7-9B,stp_cc,Spatial,0.0973,0.000,0.0973
granite-3.0-8b,IBM,8.0,Dense Transformer,7-9B,str_cc,Strategic,0.4829,0.220,0.2629
granite-3.0-8b,IBM,8.0,Dense Transformer,7-9B,tom_cc,ToM,0.1898,0.140,0.0498
granite-3.1-2b,IBM,2.0,Dense Transformer,1.7-3.8B,ctr_cc,Causal,0.2154,0.160,0.0554
granite-3.1-2b,IBM,2.0,Dense Transformer,1.7-3.8B,mor_cc,Moral,0.0481,0.000,0.0481
granite-3.1-2b,IBM,2.0,Dense Transformer,1.7-3.8B,null_cc,Null,0.0353,0.700,-0.6647
granite-3.1-2b,IBM,2.0,Dense Transformer,1.7-3.8B,stp_cc,Spatial,0.2043,0.000,0.2043
